,node_from,node_to
402,32027,19991
403,32027,18967
404,32027,6252
405,32027,7701
406,3680,13583
407,3680,22813
408,3680,26335
409,3680,8969
410,3680,10760
411,30985,8629
412,30985,28376
413,30985,1085
414,30985,1336
415,23659,31018
416,23659,1024
417,23659,6477
418,23659,13872
419,23659,28241
420,18119,22101
421,18119,13256
422,18119,10565
423,18119,24579
424,12304,11120
425,12304,17178
426,12304,26700
427,12304,24437
428,12304,11336
429,22037,31018
430,22037,30167
431,22037,8106
432,22037,30271
433,22037,3042
434,18089,31018
435,18089,4080
436,18089,1024
437,18089,3042
438,18089,13825
439,28065,12941
440,28065,12669
441,28065,30817
442,28065,7293
443,28065,12186
444,25971,18221
445,25971,22599
446,25971,8488
447,25971,15607
448,25971,27919
449,28376,8629
450,28376,11433
451,28376,28616
452,28376,8358
453,13836,29083
454,19709,13836
455,19709,21936
456,19709,29214
457,4977,13045
458,4977,19627
459,4977,28430
460,4977,30914
461,31376,12941
462,31376,3126
463,31376,9290
464,31376,29707
465,31376,29071
466,21567,29005
467,21567,18044
468,21567,30433
469,21567,6568
470,21567,17395
471,15808,588
472,15808,17239
473,15808,3181
474,15808,5418
475,7014,4796
476,7014,7698
477,7014,21234
478,7014,15240
479,29119,13045
480,29119,21465
481,29119,6131
482,29119,12248
483,29119,3261
484,13476,21715
485,13476,16401
486,13476,8822
487,13476,21756
488,28969,29083
489,8223,28969
490,8223,16401
491,8223,8624
492,8223,30442
493,8223,22013
494,16148,12941
495,16148,2565
496,16148,18274
497,27381,22224
498,27381,29914
499,27381,6779
500,27381,32033
501,19504,4796
502,19504,22232
503,19504,3940
504,19504,8408
505,19504,14688
506,30239,22224
507,30239,25371
508,30239,31652
509,30239,23309
510,30239,27353
511,30673,22224
512,30673,2870
513,30673,12602
514,30673,31816
515,29914,22224
516,29914,25371
517,29914,6779
518,29914,18721
519,25371,22224
520,25371,31652
521,25371,27388
522,17672,23602
523,17672,19425
524,17672,31807
525,17672,1158
526,17672,26494
527,16401,19393
528,16401,8624
529,16401,30442
530,16401,22013
531,8822,21715
532,8822,5729
533,8822,28034
534,30143,5342
535,30143,22005
536,30143,19747
537,30143,3184
538,25040,13836
539,25040,28402
540,25040,30817
541,25040,7293
542,25040,12186
543,17491,23602
544,17491,22638
545,17491,5023
546,17491,24465
547,797,13045
548,797,19368
549,797,19627
550,797,18772
551,797,10692
552,5462,31018
553,5462,11014
554,5462,26594
555,5462,25877
556,5462,6443
557,31690,8629
558,31690,6389
559,31690,27659
560,31690,21169
561,31690,1859
562,16942,4796
563,16942,2130
564,16942,24660
565,16942,12496
566,16942,3625
567,27202,29083
568,27202,21277
569,4155,27202
570,4155,12910
571,4155,9140
572,4155,8498
573,4155,8368
574,21224,8629
575,21224,4749
576,21224,1085
577,21224,23743
578,22599,18221
579,22599,18048
580,22599,8488
581,22599,27919
582,21632,23602
583,21632,30874
584,21632,18514
585,22638,23602
586,22638,5023
587,22638,24465
588,23459,12941
589,23459,1817
590,23459,27360
591,23459,21137
592,23459,32039
593,21474,26307
594,21474,19866
595,21474,3399
596,21474,19222
597,21474,6433
598,24562,13836
599,24562,6423
600,24562,400
601,24562,4553
602,24562,1538
603,14517,8085
604,14517,458
605,14517,852
606,7521,13836
607,7521,12534
608,7521,2280
609,7521,24933
610,7521,15720
611,27894,12941
612,27894,7117
613,27894,18536
614,27894,23150
615,27894,16491
616,30164,13836
617,30164,28932
618,30164,29167
619,30164,7690
620,30164,5359
621,9670,12941
622,9670,27065
623,9670,15223
624,9670,15281
625,9670,24799
626,9219,4796
627,9219,25759
628,9219,21234
629,9219,8861
630,23165,29604
631,23165,9966
632,23165,21572
633,23165,29117
634,4080,31018
635,4080,30167
636,4080,3042
637,26038,29083
638,26038,9979
639,26038,13716
640,26038,5533
641,24775,26038
642,24775,17777
643,24775,15329
644,24775,9538
645,24775,1383
646,2130,21715
647,2130,24660
648,2130,12496
649,2130,3625
650,18491,26131
651,18491,19345
652,18491,13502
653,18491,4407
654,18491,3160
655,15263,22224
656,15263,3063
657,15263,9169
658,15263,794
659,26755,13583
660,26755,22707
661,26755,12005
662,26755,17708
663,28084,13836
664,28084,6071
665,28084,801
666,28084,15489
667,28084,8390
668,1817,12941
669,1817,27360
670,1817,21137
671,1817,7649
672,14037,22224
673,14037,23158
674,14037,30743
675,14037,18677
676,14037,25929
677,1024,31018
678,1024,6287
679,1024,13825
680,1024,28241
681,24737,18371
682,24737,31848
683,24737,9338
684,24737,17166
685,2961,22224
686,2961,3922
687,2961,18677
688,2961,10530
689,19991,31018
690,19991,18967
691,19991,8106
692,19991,6252
693,19991,7701
694,22707,13583
695,22707,24756
696,22707,12005
